timestamp,energy_consumption,temperature,humidity,solar_radiation,wind_speed,hour,dayofweek,day,month,lag_1,lag_24,lag_168,roll_mean_24,roll_mean_168,ARIMA_Forecast,GBM_Forecast
2022-12-10 04:00:00,178.37028622909537,34.21367184777352,68.09628107807349,7.775075480521751,3.238445026741465,4,5,10,12,178.38701055164964,171.94935747722033,181.80827058598436,181.7564607866659,180.64744304513093,181.11753380680832,181.13553602082933
2022-12-10 05:00:00,189.62459179765852,31.68492827339412,72.40093495323771,0.0136766048317884,3.954426896842735,5,5,10,12,178.37028622909537,184.91162633549249,180.4018257092717,181.9528343475895,180.70234046232375,181.1175338040044,181.8900938274881
2022-12-10 06:00:00,175.23863637548027,35.47540512178292,70.9555996116309,15.955573833216084,3.806209037668046,6,5,10,12,189.62459179765852,174.87505835722496,185.74104128885045,181.96798343168348,180.63982614736318,181.11753380038473,181.9097112244184
2022-12-10 07:00:00,186.9763511261579,33.77593179197095,72.68234943161806,0.0,3.5841349090491,7,5,10,12,175.23863637548027,182.38677012023388,178.28671125344795,182.15921597359696,180.69155019422456,181.1175338059346,182.59045557485507
2022-12-10 08:00:00,178.36960526069802,32.49833439492331,71.17618229223078,0.0,4.307480456284288,8,5,10,12,186.9763511261579,181.27646470015583,179.3489682641954,182.03809683028626,180.68572065253707,181.1175338038212,182.24580713811224
2022-12-10 09:00:00,174.70140371060563,32.250533467173035,80.91536946135976,0.0,1.869228810343668,9,5,10,12,178.36960526069802,179.17097270193145,181.07845103330803,181.85186478898103,180.647762037521,181.11753380125668,181.79332669971342
2022-12-10 10:00:00,189.8626008185968,29.701090963207708,72.17691558339455,12.192616113848024,2.096926410700222,10,5,10,12,174.70140371060563,190.8089689604454,175.71356206737698,181.81243278307065,180.73198250627826,181.11753380529123,182.06765487607097
2022-12-10 11:00:00,185.9631953981332,30.74167788648589,73.43110994219455,0.0,3.904547916912404,11,5,10,12,189.8626008185968,181.93606054364207,176.40920602249574,181.98023006867444,180.78885149065704,181.1175338037009,182.13184562389034
2022-12-10 12:00:00,185.961481759918,32.84228921171704,73.02875651015299,0.0,3.3616564208177158,12,5,10,12,185.9631953981332,184.82799028743733,185.606969812835,182.02745888002778,180.79096168081827,181.11753380188557,181.91140219723022
2022-12-10 13:00:00,183.2135882193813,31.32498989529688,68.76165757448571,3.4384298573190324,3.580879002215036,13,5,10,12,185.961481759918,182.48610497520852,177.28369482038912,182.05777068186833,180.82625866533607,181.11753380481764,182.33441206955453
